marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Married,Yes,No ,24,Very Happy,Very Happy,NA,72,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,25,Very Happy,Pretyy Happy,NA,73,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,10,Pretyy Happy,Pretyy Happy,NA,36,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,32,Not Too Happy,NA,NA,42,High School,"$10,000 to $14,999",Christian,Routine
Married,No ,No ,21,Very Happy,Very Happy,NA,85,High School,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,18,Not Too Happy,NA,NA,57,High School,"$8,000 to $9,999",None,Routine
Married,No ,No ,31,Pretyy Happy,Pretyy Happy,NA,42,Bachelors,Refused,Catholic ,Exciting
Divorced,NA,No ,20,Not Too Happy,NA,NA,41,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,32,Bachelors,"$15,000 to $19,999",None,Routine
Married,Yes,No ,23,Very Happy,Very Happy,NA,42,High School,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,54,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,24,Pretyy Happy,NA,NA,75,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,51,Graduate,"$25,000 or more",None,Routine
Married,Yes,No ,18,Pretyy Happy,Pretyy Happy,NA,57,Graduate,Refused,Orthodox-Christian,Exciting
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,42,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,34,Associate,"$25,000 or more",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,75,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,32,Very Happy,Very Happy,NA,59,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,22,Not Too Happy,NA,NA,29,High School,"$20,000 to $24,999",None,Dull
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,44,Graduate,Refused,Protestant,Exciting
Married,Yes,No ,28,Pretyy Happy,Very Happy,NA,71,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,37,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,17,Pretyy Happy,NA,NA,58,<High School,"<$1,000",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,22,Associate,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,21,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,28,Very Happy,NA,NA,69,Graduate,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,23,Associate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,34,High School,"$25,000 or more",None,Routine
Married,No ,No ,32,Very Happy,Pretyy Happy,NA,38,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,23,Very Happy,Very Happy,NA,75,Associate,"$25,000 or more",Christian,Exciting
Married,No ,No ,30,Very Happy,Very Happy,NA,31,Graduate,"$25,000 or more",Buddhism,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,27,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,24,Pretyy Happy,NA,Pretyy Happy,41,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,23,Pretyy Happy,Very Happy,NA,53,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,36,Graduate,"$25,000 or more",None,Exciting
Married,Yes,No ,22,Not Too Happy,Pretyy Happy,NA,39,Graduate,"$25,000 or more",Christian,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,47,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,26,Pretyy Happy,NA,NA,50,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,34,Not Too Happy,Pretyy Happy,NA,70,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,19,Not Too Happy,NA,NA,32,<High School,"$25,000 or more",Catholic ,Dull
Never Married,NA,NA,39,Pretyy Happy,NA,Pretyy Happy,41,High School,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,Bachelors,"$20,000 to $24,999",None,Routine
Never Married,NA,NA,16,Not Too Happy,NA,NA,51,<High School,"<$1,000",Catholic ,Dull
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,59,High School,"$25,000 or more",None,Exciting
Widowed,Yes,NA,20,Pretyy Happy,NA,NA,57,<High School,"$25,000 or more",None,Routine
Widowed,No ,NA,21,Not Too Happy,NA,Pretyy Happy,88,Bachelors,"$25,000 or more",None,Routine
Widowed,Yes,NA,20,Not Too Happy,NA,NA,73,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,21,Very Happy,Very Happy,NA,53,Bachelors,Refused,Protestant,Exciting
Divorced,NA,No ,NA,Not Too Happy,NA,NA,59,High School,"<$1,000",None,Routine
Married,No ,No ,35,Not Too Happy,Pretyy Happy,NA,76,High School,"$25,000 or more",Native-American,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,48,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,25,Very Happy,Very Happy,NA,47,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,26,Pretyy Happy,NA,Very Happy,80,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,51,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,29,Very Happy,Very Happy,NA,77,Graduate,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,32,<High School,"$25,000 or more",None,Routine
Never Married,NA,NA,16,Not Too Happy,NA,Very Happy,30,Graduate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,19,Not Too Happy,Pretyy Happy,NA,39,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,57,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,36,Pretyy Happy,Very Happy,NA,38,Bachelors,"$25,000 or more",None,Exciting
Married,Yes,No ,19,Pretyy Happy,Pretyy Happy,NA,76,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,27,Graduate,"$25,000 or more",None,Exciting
Divorced,NA,No ,21,Pretyy Happy,NA,NA,76,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,19,Pretyy Happy,NA,NA,44,<High School,"$5,000 to $5,999",Catholic ,Exciting
Divorced,NA,No ,27,Very Happy,NA,Very Happy,67,Graduate,Refused,Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,46,Bachelors,"$25,000 or more",Buddhism,Exciting
Never Married,NA,NA,32,Very Happy,NA,NA,69,High School,"$10,000 to $14,999",Catholic ,Exciting
Married,No ,No ,32,Very Happy,Very Happy,NA,41,Graduate,Refused,None,Exciting
Married,No ,No ,34,Pretyy Happy,Very Happy,NA,61,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,35,Not Too Happy,Not Too Happy,NA,48,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,24,<High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,20,Not Too Happy,NA,Very Happy,33,<High School,"$15,000 to $19,999",None,Routine
Divorced,NA,No ,28,Very Happy,NA,NA,50,High School,"$8,000 to $9,999",Christian,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,63,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,83,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,NA,74,Associate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,25,Very Happy,Pretyy Happy,NA,44,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,35,Pretyy Happy,Very Happy,NA,43,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,20,Very Happy,Very Happy,NA,51,High School,"$25,000 or more",Christian,Exciting
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,68,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,29,Pretyy Happy,Pretyy Happy,NA,64,High School,Refused,Protestant,Exciting
Divorced,NA,No ,19,Very Happy,NA,Very Happy,33,High School,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,21,Pretyy Happy,NA,NA,36,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,32,<High School,"<$1,000",None,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,37,High School,"$10,000 to $14,999",Muslim,Dull
Never Married,NA,NA,NA,Very Happy,NA,NA,24,Bachelors,"$20,000 to $24,999",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,27,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,30,Pretyy Happy,Pretyy Happy,NA,53,Bachelors,Refused,Catholic ,Exciting
Widowed,No ,NA,25,Pretyy Happy,NA,NA,77,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,28,Associate,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,55,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,42,Graduate,Refused,Hinduism,Exciting
Married,Yes,No ,34,Pretyy Happy,Pretyy Happy,NA,62,Graduate,Refused,None,Exciting
Married,No ,No ,26,Not Too Happy,Pretyy Happy,NA,28,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,21,Not Too Happy,Very Happy,NA,41,High School,Refused,Protestant,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,39,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Pretyy Happy,Pretyy Happy,NA,33,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,21,Pretyy Happy,NA,NA,69,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,31,Not Too Happy,Pretyy Happy,NA,55,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,24,Not Too Happy,NA,NA,33,Bachelors,"$25,000 or more",None,Exciting
Widowed,No ,NA,26,Pretyy Happy,NA,NA,89,High School,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,40,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,29,Not Too Happy,Pretyy Happy,NA,49,Graduate,Refused,None,Routine
Divorced,NA,No ,33,Not Too Happy,NA,NA,61,Graduate,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,NA,Very Happy,NA,NA,49,Associate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,19,Pretyy Happy,Very Happy,NA,57,Bachelors,Refused,Catholic ,Routine
Divorced,NA,No ,19,Pretyy Happy,NA,NA,47,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,16,Pretyy Happy,Very Happy,NA,23,High School,"$4,000 to $4,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,34,Graduate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,21,Not Too Happy,Pretyy Happy,NA,44,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,38,Bachelors,Refused,Catholic ,Exciting
Married,No ,No ,NA,Very Happy,Very Happy,NA,69,Graduate,Refused,None,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,71,Graduate,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,34,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,52,Associate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,28,Not Too Happy,Very Happy,NA,79,Bachelors,"$25,000 or more",None,Exciting
Widowed,No ,NA,23,Pretyy Happy,NA,NA,89,Associate,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,74,High School,"$25,000 or more",None,Dull
Married,Yes,No ,25,Pretyy Happy,Pretyy Happy,NA,63,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,18,Very Happy,Very Happy,NA,55,Associate,"$25,000 or more",None,Exciting
Married,No ,No ,35,Pretyy Happy,Very Happy,NA,75,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,NA,Pretyy Happy,Very Happy,NA,71,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,28,Graduate,Refused,None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,23,Bachelors,Refused,Catholic ,Routine
Married,Yes,No ,NA,Not Too Happy,Very Happy,NA,71,High School,"$6,000 to $6,999",Catholic ,Exciting
Married,No ,No ,19,Not Too Happy,Pretyy Happy,NA,34,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,NA,Not Too Happy,Very Happy,NA,70,Graduate,"$25,000 or more",None,Exciting
Divorced,NA,No ,40,Pretyy Happy,NA,NA,82,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,20,Pretyy Happy,Pretyy Happy,NA,42,Bachelors,"$25,000 or more",None,Dull
Married,No ,Yes,NA,Pretyy Happy,Pretyy Happy,NA,55,High School,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,41,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,22,Very Happy,Very Happy,NA,63,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,22,Pretyy Happy,Very Happy,NA,61,High School,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,28,Pretyy Happy,NA,NA,67,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Very Happy,Very Happy,NA,35,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,NA,Not Too Happy,Pretyy Happy,NA,64,Bachelors,"$25,000 or more",None,Dull
Never Married,NA,NA,NA,Not Too Happy,NA,NA,30,High School,"$10,000 to $14,999",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,21,High School,Refused,None,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,56,Graduate,Refused,None,Routine
Married,No ,No ,37,Very Happy,Very Happy,NA,40,Bachelors,Refused,None,Exciting
Married,Yes,No ,22,Very Happy,Very Happy,NA,70,Graduate,"$25,000 or more",Jewish ,Routine
Married,Yes,No ,23,Pretyy Happy,Pretyy Happy,NA,69,Graduate,Refused,Protestant,Exciting
Divorced,NA,No ,27,Pretyy Happy,NA,NA,59,High School,"$25,000 or more",Protestant,Exciting
Separated,NA,No ,NA,Pretyy Happy,NA,NA,63,Bachelors,"$25,000 or more",None,Exciting
Widowed,Yes,NA,37,Pretyy Happy,NA,NA,73,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,57,Pretyy Happy,Pretyy Happy,NA,64,Bachelors,"$25,000 or more",Buddhism,Routine
Married,No ,No ,28,Not Too Happy,Pretyy Happy,NA,60,High School,"$25,000 or more",None,Routine
Married,Yes,No ,35,Pretyy Happy,Very Happy,NA,67,High School,"$25,000 or more",Protestant,Exciting
Married,No ,Yes,22,Pretyy Happy,Very Happy,NA,73,High School,"$25,000 or more",Catholic ,Routine
Widowed,Yes,NA,28,Pretyy Happy,NA,NA,54,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,24,Very Happy,Very Happy,NA,56,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,27,Very Happy,Very Happy,NA,40,Graduate,Refused,Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,32,Bachelors,"$15,000 to $19,999",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,28,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,23,Associate,"$10,000 to $14,999",None,Dull
Never Married,NA,NA,NA,Not Too Happy,NA,NA,52,Bachelors,"$25,000 or more",None,Routine
Widowed,No ,NA,27,Not Too Happy,NA,NA,70,High School,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,63,High School,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,32,Bachelors,"$25,000 or more",Buddhism,Routine
Married,No ,No ,31,Not Too Happy,Very Happy,NA,37,Bachelors,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,18,Pretyy Happy,NA,NA,81,Associate,"$10,000 to $14,999",Protestant,Routine
Married,Yes,No ,23,Pretyy Happy,Very Happy,NA,68,Graduate,Refused,Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,56,Graduate,Refused,None,Routine
Never Married,NA,NA,19,Pretyy Happy,NA,NA,24,Bachelors,Refused,None,Routine
Widowed,No ,NA,25,Pretyy Happy,NA,Very Happy,78,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,30,Pretyy Happy,Pretyy Happy,NA,65,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,62,Bachelors,Refused,Protestant,Routine
Widowed,No ,NA,33,Pretyy Happy,NA,NA,65,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,14,Not Too Happy,NA,NA,31,High School,"$1,000 to $2,999",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,34,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,34,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,23,Pretyy Happy,Pretyy Happy,NA,70,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Pretyy Happy,24,High School,"$15,000 to $19,999",None,Routine
Married,No ,No ,23,Very Happy,Very Happy,NA,37,High School,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,23,Very Happy,NA,Very Happy,68,High School,"$25,000 or more",Christian,Exciting
Widowed,Yes,NA,24,Pretyy Happy,NA,NA,72,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,60,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,25,Very Happy,Very Happy,NA,47,Associate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,38,Pretyy Happy,Pretyy Happy,NA,46,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,40,Bachelors,"$8,000 to $9,999",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,70,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,31,Very Happy,NA,NA,68,High School,"$20,000 to $24,999",Protestant,Exciting
Married,Yes,No ,NA,Very Happy,Very Happy,NA,58,<High School,"$25,000 or more",Christian,Exciting
Married,No ,No ,32,Very Happy,Very Happy,NA,69,Bachelors,Refused,Catholic ,Exciting
Divorced,NA,No ,37,Not Too Happy,NA,NA,60,High School,"$15,000 to $19,999",Orthodox-Christian,Routine
Married,Yes,No ,22,Pretyy Happy,Very Happy,NA,44,<High School,"$25,000 or more",Other,Exciting
Married,No ,No ,34,Pretyy Happy,Pretyy Happy,NA,38,High School,"$25,000 or more",Christian,Routine
Married,No ,No ,20,Pretyy Happy,Very Happy,NA,26,<High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,20,Not Too Happy,NA,NA,42,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,35,Pretyy Happy,Very Happy,NA,77,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,33,Not Too Happy,NA,NA,69,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,55,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,21,Pretyy Happy,NA,NA,74,High School,"$7,000 to $7,999",Christian,Exciting
Married,Yes,No ,27,Pretyy Happy,Pretyy Happy,NA,55,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,Yes,19,Pretyy Happy,NA,NA,79,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,29,Pretyy Happy,NA,Very Happy,67,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,26,Very Happy,Very Happy,NA,40,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,30,Bachelors,Refused,None,Exciting
Married,No ,No ,27,Very Happy,Very Happy,NA,28,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,55,Graduate,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,22,High School,"$25,000 or more",None,Exciting
Married,No ,No ,33,Very Happy,Very Happy,NA,56,Bachelors,Refused,Jewish ,Routine
Divorced,NA,No ,21,Pretyy Happy,NA,NA,49,Associate,"$25,000 or more",Other,Exciting
Never Married,NA,NA,25,Very Happy,NA,NA,34,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,Very Happy,58,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,29,Very Happy,Very Happy,NA,37,Bachelors,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,32,Very Happy,Very Happy,NA,40,Bachelors,"$25,000 or more",None,Exciting
Never Married,NA,NA,23,Pretyy Happy,NA,NA,36,Graduate,"$25,000 or more",Christian,Routine
Never Married,NA,NA,28,Pretyy Happy,NA,NA,36,Bachelors,"$8,000 to $9,999",None,Routine
Never Married,NA,NA,22,Pretyy Happy,NA,NA,66,Associate,"$8,000 to $9,999",Protestant,Exciting
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,45,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,65,High School,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,35,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,29,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,25,Pretyy Happy,Very Happy,NA,70,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,62,High School,"$15,000 to $19,999",Catholic ,Routine
Married,Yes,No ,20,Very Happy,Pretyy Happy,NA,65,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,55,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,17,Not Too Happy,NA,NA,57,<High School,"$1,000 to $2,999",Protestant,Routine
Married,No ,No ,25,Pretyy Happy,Very Happy,NA,74,High School,Refused,Protestant,Routine
Married,No ,No ,46,Pretyy Happy,Very Happy,NA,48,Bachelors,"$25,000 or more",Buddhism,Exciting
Divorced,NA,No ,20,Pretyy Happy,NA,NA,32,Graduate,"$25,000 or more",Jewish ,Routine
Widowed,No ,NA,23,Very Happy,NA,NA,79,Graduate,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,21,Not Too Happy,NA,NA,70,High School,"$10,000 to $14,999",Protestant,Dull
Widowed,No ,NA,23,Not Too Happy,NA,NA,81,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,41,Very Happy,NA,NA,74,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,27,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,19,Not Too Happy,NA,Very Happy,26,High School,"<$1,000",None,Routine
Married,Yes,No ,23,Pretyy Happy,Very Happy,NA,58,High School,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,23,Pretyy Happy,NA,NA,49,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,41,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,37,Pretyy Happy,Pretyy Happy,NA,43,Graduate,Refused,Buddhism,Routine
Separated,NA,No ,15,Not Too Happy,NA,NA,64,High School,"$1,000 to $2,999",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,83,High School,"$15,000 to $19,999",Catholic ,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,40,<High School,"$25,000 or more",None,Exciting
Married,Yes,No ,41,Pretyy Happy,Pretyy Happy,NA,79,Associate,"$25,000 or more",None,Exciting
Married,Yes,No ,NA,Pretyy Happy,Very Happy,NA,69,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,27,Pretyy Happy,NA,NA,68,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,33,High School,"$25,000 or more",None,Routine
Married,Yes,No ,29,Pretyy Happy,Pretyy Happy,NA,75,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,20,High School,Refused,None,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,51,Bachelors,Refused,None,Routine
Divorced,NA,No ,32,Pretyy Happy,NA,NA,66,High School,"$15,000 to $19,999",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,37,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,64,Bachelors,"$25,000 or more",None,Exciting
Divorced,NA,No ,19,Not Too Happy,NA,Not Too Happy,45,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,20,Not Too Happy,NA,NA,67,High School,"$25,000 or more",Catholic ,Dull
Married,No ,No ,30,Pretyy Happy,Pretyy Happy,NA,47,Bachelors,"$25,000 or more",None,Dull
Married,No ,No ,20,Very Happy,Very Happy,NA,77,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,28,Pretyy Happy,NA,NA,83,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,28,Very Happy,Pretyy Happy,NA,79,Graduate,Refused,Hinduism,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,31,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,63,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,33,High School,"$25,000 or more",None,Routine
Married,Yes,No ,19,Pretyy Happy,Pretyy Happy,NA,67,High School,"$20,000 to $24,999",Protestant,Routine
Married,Yes,No ,32,Very Happy,Very Happy,NA,45,Bachelors,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,16,Not Too Happy,NA,NA,55,<High School,"$15,000 to $19,999",None,Exciting
Never Married,NA,NA,25,Pretyy Happy,NA,NA,43,High School,"$25,000 or more",None,Routine
Married,No ,No ,37,Pretyy Happy,Very Happy,NA,39,Graduate,Refused,Orthodox-Christian,Exciting
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,71,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,47,Bachelors,"$25,000 or more",Buddhism,Routine
Widowed,Yes,NA,21,Pretyy Happy,NA,Pretyy Happy,63,Associate,"$20,000 to $24,999",Catholic ,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,26,High School,"$25,000 or more",Catholic ,Dull
