"","marital","divorce","widowed","agekdbrn","happy","hapmar","hapcohab","age","degree","income","relgion","life"
"1136","Married","No ","No ",10,"Pretyy Happy","Pretyy Happy",NA,36,"Bachelors","$25,000 or more","Protestant","Routine"
"1137","Never Married",NA,NA,32,"Not Too Happy",NA,NA,42,"High School","$10,000 to $14,999","Christian","Routine"
"1138","Married","No ","No ",21,"Very Happy","Very Happy",NA,85,"High School","$25,000 or more","Catholic ","Routine"
"1139","Widowed","No ",NA,18,"Not Too Happy",NA,NA,57,"High School","$8,000 to $9,999","None","Routine"
"1140","Married","No ","No ",31,"Pretyy Happy","Pretyy Happy",NA,42,"Bachelors","Refused","Catholic ","Exciting"
"1141","Divorced",NA,"No ",20,"Not Too Happy",NA,NA,41,"High School","$25,000 or more","Catholic ","Exciting"
"1142","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",32,"Bachelors","$15,000 to $19,999","None","Routine"
"1143","Married","Yes","No ",23,"Very Happy","Very Happy",NA,42,"High School","$25,000 or more","None","Exciting"
"1144","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,54,"Bachelors","$25,000 or more","Protestant","Routine"
"1145","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,75,"Bachelors","$25,000 or more","Protestant","Routine"
"1146","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,51,"Graduate","$25,000 or more","None","Routine"
"1147","Married","Yes","No ",18,"Pretyy Happy","Pretyy Happy",NA,57,"Graduate","Refused","Orthodox-Christian","Exciting"
"1148","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,42,"Graduate","$25,000 or more","Protestant","Routine"
"1149","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,34,"Associate","$25,000 or more","None","Routine"
"1150","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,75,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1151","Married","No ","No ",32,"Very Happy","Very Happy",NA,59,"Bachelors","$25,000 or more","Protestant","Routine"
"1152","Divorced",NA,"No ",22,"Not Too Happy",NA,NA,29,"High School","$20,000 to $24,999","None","Dull"
"1153","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,44,"Graduate","Refused","Protestant","Exciting"
"1154","Married","Yes","No ",28,"Pretyy Happy","Very Happy",NA,71,"Graduate","$25,000 or more","None","Exciting"
"1155","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,37,"Graduate","$25,000 or more","None","Routine"
"1156","Divorced",NA,"No ",17,"Pretyy Happy",NA,NA,58,"<High School","<$1,000","None","Dull"
"1157","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,22,"Associate","$25,000 or more","None","Exciting"
"1158","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,21,"High School","$25,000 or more","None","Routine"
"1159","Divorced",NA,"No ",28,"Very Happy",NA,NA,69,"Graduate","$25,000 or more","None","Exciting"
"1160","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,23,"Associate","$25,000 or more","Protestant","Exciting"
"1161","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",34,"High School","$25,000 or more","None","Routine"
"1162","Married","No ","No ",32,"Very Happy","Pretyy Happy",NA,38,"Graduate","$25,000 or more","Protestant","Exciting"
"1163","Married","No ","No ",23,"Very Happy","Very Happy",NA,75,"Associate","$25,000 or more","Christian","Exciting"
"1164","Married","No ","No ",30,"Very Happy","Very Happy",NA,31,"Graduate","$25,000 or more","Buddhism","Exciting"
"1165","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,27,"Bachelors","$25,000 or more","None","Routine"
"1166","Never Married",NA,NA,24,"Pretyy Happy",NA,"Pretyy Happy",41,"Bachelors","$25,000 or more","Protestant","Routine"
"1167","Married","Yes","No ",23,"Pretyy Happy","Very Happy",NA,53,"High School","$25,000 or more","Protestant","Routine"
"1168","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",36,"Graduate","$25,000 or more","None","Exciting"
"1169","Married","Yes","No ",22,"Not Too Happy","Pretyy Happy",NA,39,"Graduate","$25,000 or more","Christian","Routine"
"1170","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,47,"High School","$25,000 or more","None","Routine"
"1171","Divorced",NA,"No ",26,"Pretyy Happy",NA,NA,50,"Graduate","$25,000 or more","None","Exciting"
"1172","Married","No ","No ",34,"Not Too Happy","Pretyy Happy",NA,70,"Bachelors","$25,000 or more","None","Routine"
"1173","Divorced",NA,"No ",19,"Not Too Happy",NA,NA,32,"<High School","$25,000 or more","Catholic ","Dull"
"1174","Never Married",NA,NA,39,"Pretyy Happy",NA,"Pretyy Happy",41,"High School","$25,000 or more","None","Exciting"
"1175","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"Bachelors","$20,000 to $24,999","None","Routine"
"1176","Never Married",NA,NA,16,"Not Too Happy",NA,NA,51,"<High School","<$1,000","Catholic ","Dull"
"1177","Married","Yes","No ",NA,"Pretyy Happy","Pretyy Happy",NA,59,"High School","$25,000 or more","None","Exciting"
"1178","Widowed","Yes",NA,20,"Pretyy Happy",NA,NA,57,"<High School","$25,000 or more","None","Routine"
"1179","Widowed","No ",NA,21,"Not Too Happy",NA,"Pretyy Happy",88,"Bachelors","$25,000 or more","None","Routine"
"1180","Widowed","Yes",NA,20,"Not Too Happy",NA,NA,73,"High School","$25,000 or more","None","Exciting"
"1181","Married","Yes","No ",21,"Very Happy","Very Happy",NA,53,"Bachelors","Refused","Protestant","Exciting"
"1182","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,59,"High School","<$1,000","None","Routine"
"1183","Married","No ","No ",35,"Not Too Happy","Pretyy Happy",NA,76,"High School","$25,000 or more","Native-American","Exciting"
"1184","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,48,"Bachelors","$25,000 or more","Protestant","Exciting"
"1185","Married","Yes","No ",25,"Very Happy","Very Happy",NA,47,"High School","$25,000 or more","Protestant","Exciting"
"1186","Divorced",NA,"No ",26,"Pretyy Happy",NA,"Very Happy",80,"High School","$25,000 or more","Catholic ","Routine"
"1187","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,51,"Graduate","$25,000 or more","Protestant","Routine"
"1188","Married","No ","No ",29,"Very Happy","Very Happy",NA,77,"Graduate","$25,000 or more","Catholic ","Routine"
"1189","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",32,"<High School","$25,000 or more","None","Routine"
"1190","Never Married",NA,NA,16,"Not Too Happy",NA,"Very Happy",30,"Graduate","$25,000 or more","Catholic ","Exciting"
"1191","Married","No ","No ",19,"Not Too Happy","Pretyy Happy",NA,39,"High School","$25,000 or more","Catholic ","Routine"
"1192","Married","Yes","No ",NA,"Pretyy Happy","Pretyy Happy",NA,57,"Associate","$25,000 or more","Protestant","Routine"
"1193","Married","No ","No ",36,"Pretyy Happy","Very Happy",NA,38,"Bachelors","$25,000 or more","None","Exciting"
"1194","Married","Yes","No ",19,"Pretyy Happy","Pretyy Happy",NA,76,"Bachelors","$25,000 or more","Protestant","Routine"
"1195","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,27,"Graduate","$25,000 or more","None","Exciting"
"1196","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,76,"High School","$25,000 or more","Protestant","Routine"
"1197","Divorced",NA,"No ",19,"Pretyy Happy",NA,NA,44,"<High School","$5,000 to $5,999","Catholic ","Exciting"
"1198","Divorced",NA,"No ",27,"Very Happy",NA,"Very Happy",67,"Graduate","Refused","Protestant","Exciting"
"1199","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,46,"Bachelors","$25,000 or more","Buddhism","Exciting"
"1200","Never Married",NA,NA,32,"Very Happy",NA,NA,69,"High School","$10,000 to $14,999","Catholic ","Exciting"
"1201","Married","No ","No ",32,"Very Happy","Very Happy",NA,41,"Graduate","Refused","None","Exciting"
"1202","Married","No ","No ",34,"Pretyy Happy","Very Happy",NA,61,"Bachelors","$25,000 or more","None","Exciting"
"1203","Married","No ","No ",35,"Not Too Happy","Not Too Happy",NA,48,"Bachelors","$25,000 or more","None","Routine"
"1204","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,24,"<High School","$25,000 or more","Catholic ","Exciting"
"1205","Never Married",NA,NA,20,"Not Too Happy",NA,"Very Happy",33,"<High School","$15,000 to $19,999","None","Routine"
"1206","Divorced",NA,"No ",28,"Very Happy",NA,NA,50,"High School","$8,000 to $9,999","Christian","Exciting"
"1207","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,63,"Graduate","$25,000 or more","None","Routine"
"1208","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,83,"Graduate","$25,000 or more","Protestant","Routine"
"1209","Divorced",NA,"No ",22,"Pretyy Happy",NA,NA,74,"Associate","$25,000 or more","Protestant","Exciting"
"1210","Married","No ","No ",25,"Very Happy","Pretyy Happy",NA,44,"High School","$25,000 or more","Protestant","Routine"
"1211","Married","No ","No ",35,"Pretyy Happy","Very Happy",NA,43,"Bachelors","$25,000 or more","None","Routine"
"1212","Married","Yes","No ",20,"Very Happy","Very Happy",NA,51,"High School","$25,000 or more","Christian","Exciting"
"1213","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,68,"High School","$25,000 or more","Protestant","Exciting"
"1214","Married","No ","No ",29,"Pretyy Happy","Pretyy Happy",NA,64,"High School","Refused","Protestant","Exciting"
"1215","Divorced",NA,"No ",19,"Very Happy",NA,"Very Happy",33,"High School","$25,000 or more","Catholic ","Exciting"
"1216","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,36,"Bachelors","$25,000 or more","Catholic ","Routine"
"1217","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,32,"<High School","<$1,000","None","Exciting"
"1218","Never Married",NA,NA,NA,"Very Happy",NA,NA,37,"High School","$10,000 to $14,999","Muslim","Dull"
"1219","Never Married",NA,NA,NA,"Very Happy",NA,NA,24,"Bachelors","$20,000 to $24,999","None","Exciting"
"1220","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,27,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1221","Married","No ","No ",30,"Pretyy Happy","Pretyy Happy",NA,53,"Bachelors","Refused","Catholic ","Exciting"
"1222","Widowed","No ",NA,25,"Pretyy Happy",NA,NA,77,"Bachelors","$25,000 or more","Protestant","Routine"
"1223","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,28,"Associate","$25,000 or more","None","Routine"
"1224","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,55,"High School","$25,000 or more","Catholic ","Exciting"
"1225","Married","No ","No ",23,"Pretyy Happy","Very Happy",NA,42,"Graduate","Refused","Hinduism","Exciting"
"1226","Married","Yes","No ",34,"Pretyy Happy","Pretyy Happy",NA,62,"Graduate","Refused","None","Exciting"
"1227","Married","No ","No ",26,"Not Too Happy","Pretyy Happy",NA,28,"High School","$25,000 or more","Protestant","Exciting"
"1228","Married","Yes","No ",21,"Not Too Happy","Very Happy",NA,41,"High School","Refused","Protestant","Routine"
"1229","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,39,"High School","$25,000 or more","Protestant","Routine"
"1230","Married","No ","No ",28,"Pretyy Happy","Pretyy Happy",NA,33,"Bachelors","$25,000 or more","Catholic ","Routine"
"1231","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,69,"Graduate","$25,000 or more","Protestant","Routine"
"1232","Married","No ","No ",31,"Not Too Happy","Pretyy Happy",NA,55,"Bachelors","$25,000 or more","Protestant","Routine"
"1233","Divorced",NA,"No ",24,"Not Too Happy",NA,NA,33,"Bachelors","$25,000 or more","None","Exciting"
"1234","Widowed","No ",NA,26,"Pretyy Happy",NA,NA,89,"High School","$10,000 to $14,999","Protestant","Routine"
"1235","Married","No ","No ",NA,"Not Too Happy","Very Happy",NA,40,"Bachelors","$25,000 or more","Catholic ","Routine"
"1236","Married","No ","No ",29,"Not Too Happy","Pretyy Happy",NA,49,"Graduate","Refused","None","Routine"
"1237","Divorced",NA,"No ",33,"Not Too Happy",NA,NA,61,"Graduate","$25,000 or more","Protestant","Dull"
"1238","Divorced",NA,"No ",NA,"Very Happy",NA,NA,49,"Associate","$25,000 or more","Catholic ","Exciting"
"1239","Married","No ","No ",19,"Pretyy Happy","Very Happy",NA,57,"Bachelors","Refused","Catholic ","Routine"
"1240","Divorced",NA,"No ",19,"Pretyy Happy",NA,NA,47,"High School","$25,000 or more","Protestant","Routine"
"1241","Married","No ","No ",16,"Pretyy Happy","Very Happy",NA,23,"High School","$4,000 to $4,999","None","Routine"
"1242","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,34,"Graduate","$25,000 or more","Catholic ","Exciting"
"1243","Married","No ","No ",21,"Not Too Happy","Pretyy Happy",NA,44,"High School","$25,000 or more","None","Routine"
"1244","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,38,"Bachelors","Refused","Catholic ","Exciting"
"1245","Married","No ","No ",NA,"Very Happy","Very Happy",NA,69,"Graduate","Refused","None","Routine"
"1246","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,71,"Graduate","Refused","None","Routine"
"1247","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,34,"High School","$25,000 or more","Catholic ","Routine"
"1248","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,52,"Associate","$25,000 or more","Catholic ","Routine"
"1249","Married","No ","No ",28,"Not Too Happy","Very Happy",NA,79,"Bachelors","$25,000 or more","None","Exciting"
"1250","Widowed","No ",NA,23,"Pretyy Happy",NA,NA,89,"Associate","$25,000 or more","Catholic ","Routine"
"1251","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,74,"High School","$25,000 or more","None","Dull"
"1252","Married","Yes","No ",25,"Pretyy Happy","Pretyy Happy",NA,63,"High School","$25,000 or more","Protestant","Routine"
"1253","Married","Yes","No ",18,"Very Happy","Very Happy",NA,55,"Associate","$25,000 or more","None","Exciting"
"1254","Married","No ","No ",35,"Pretyy Happy","Very Happy",NA,75,"Bachelors","$25,000 or more","None","Routine"
"1255","Married","Yes","No ",NA,"Pretyy Happy","Very Happy",NA,71,"Bachelors","$25,000 or more","None","Exciting"
"1256","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,28,"Graduate","Refused","None","Exciting"
"1257","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,23,"Bachelors","Refused","Catholic ","Routine"
"1258","Married","Yes","No ",NA,"Not Too Happy","Very Happy",NA,71,"High School","$6,000 to $6,999","Catholic ","Exciting"
"1259","Married","No ","No ",19,"Not Too Happy","Pretyy Happy",NA,34,"High School","$25,000 or more","Catholic ","Routine"
"1260","Married","Yes","No ",NA,"Not Too Happy","Very Happy",NA,70,"Graduate","$25,000 or more","None","Exciting"
"1261","Divorced",NA,"No ",40,"Pretyy Happy",NA,NA,82,"High School","$25,000 or more","Catholic ","Routine"
"1262","Married","No ","No ",20,"Pretyy Happy","Pretyy Happy",NA,42,"Bachelors","$25,000 or more","None","Dull"
"1263","Married","No ","Yes",NA,"Pretyy Happy","Pretyy Happy",NA,55,"High School","$25,000 or more","Jewish ","Exciting"
"1264","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,41,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1265","Married","No ","No ",22,"Very Happy","Very Happy",NA,63,"High School","$25,000 or more","Catholic ","Routine"
"1266","Married","No ","No ",22,"Pretyy Happy","Very Happy",NA,61,"High School","$25,000 or more","Catholic ","Exciting"
"1267","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,67,"Bachelors","$25,000 or more","Protestant","Exciting"
"1268","Married","No ","No ",NA,"Very Happy","Very Happy",NA,35,"Bachelors","$25,000 or more","Protestant","Exciting"
"1269","Married","Yes","No ",NA,"Not Too Happy","Pretyy Happy",NA,64,"Bachelors","$25,000 or more","None","Dull"
"1270","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,30,"High School","$10,000 to $14,999","Catholic ","Routine"
"1271","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,21,"High School","Refused","None","Routine"
"1272","Married","No ","No ",NA,"Very Happy","Very Happy",NA,56,"Graduate","Refused","None","Routine"
"1273","Married","No ","No ",37,"Very Happy","Very Happy",NA,40,"Bachelors","Refused","None","Exciting"
"1274","Married","Yes","No ",22,"Very Happy","Very Happy",NA,70,"Graduate","$25,000 or more","Jewish ","Routine"
"1275","Married","Yes","No ",23,"Pretyy Happy","Pretyy Happy",NA,69,"Graduate","Refused","Protestant","Exciting"
"1276","Divorced",NA,"No ",27,"Pretyy Happy",NA,NA,59,"High School","$25,000 or more","Protestant","Exciting"
"1277","Separated",NA,"No ",NA,"Pretyy Happy",NA,NA,63,"Bachelors","$25,000 or more","None","Exciting"
"1278","Widowed","Yes",NA,37,"Pretyy Happy",NA,NA,73,"Bachelors","$25,000 or more","None","Routine"
"1279","Married","No ","No ",57,"Pretyy Happy","Pretyy Happy",NA,64,"Bachelors","$25,000 or more","Buddhism","Routine"
"1280","Married","No ","No ",28,"Not Too Happy","Pretyy Happy",NA,60,"High School","$25,000 or more","None","Routine"
"1281","Married","Yes","No ",35,"Pretyy Happy","Very Happy",NA,67,"High School","$25,000 or more","Protestant","Exciting"
"1282","Married","No ","Yes",22,"Pretyy Happy","Very Happy",NA,73,"High School","$25,000 or more","Catholic ","Routine"
"1283","Widowed","Yes",NA,28,"Pretyy Happy",NA,NA,54,"Bachelors","$25,000 or more","None","Exciting"
"1284","Married","No ","No ",24,"Very Happy","Very Happy",NA,56,"High School","$25,000 or more","Protestant","Exciting"
"1285","Married","No ","No ",27,"Very Happy","Very Happy",NA,40,"Graduate","Refused","Catholic ","Exciting"
"1286","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,32,"Bachelors","$15,000 to $19,999","None","Routine"
"1287","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,28,"Bachelors","$25,000 or more","Protestant","Routine"
"1288","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,23,"Associate","$10,000 to $14,999","None","Dull"
"1289","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,52,"Bachelors","$25,000 or more","None","Routine"
"1290","Widowed","No ",NA,27,"Not Too Happy",NA,NA,70,"High School","$10,000 to $14,999","Protestant","Routine"
"1291","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,63,"High School","$25,000 or more","None","Exciting"
"1292","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"Bachelors","$25,000 or more","None","Exciting"
"1293","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,32,"Bachelors","$25,000 or more","Buddhism","Routine"
"1294","Married","No ","No ",31,"Not Too Happy","Very Happy",NA,37,"Bachelors","$25,000 or more","Protestant","Exciting"
"1295","Divorced",NA,"No ",18,"Pretyy Happy",NA,NA,81,"Associate","$10,000 to $14,999","Protestant","Routine"
"1296","Married","Yes","No ",23,"Pretyy Happy","Very Happy",NA,68,"Graduate","Refused","Protestant","Exciting"
"1297","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,56,"Graduate","Refused","None","Routine"
"1298","Never Married",NA,NA,19,"Pretyy Happy",NA,NA,24,"Bachelors","Refused","None","Routine"
"1299","Widowed","No ",NA,25,"Pretyy Happy",NA,"Very Happy",78,"Graduate","$25,000 or more","None","Routine"
"1300","Married","No ","No ",30,"Pretyy Happy","Pretyy Happy",NA,65,"High School","$25,000 or more","Protestant","Exciting"
"1301","Married","No ","No ",27,"Pretyy Happy","Pretyy Happy",NA,62,"Bachelors","Refused","Protestant","Routine"
"1302","Widowed","No ",NA,33,"Pretyy Happy",NA,NA,65,"High School","$25,000 or more","Protestant","Exciting"
"1303","Never Married",NA,NA,14,"Not Too Happy",NA,NA,31,"High School","$1,000 to $2,999","Protestant","Routine"
"1304","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,34,"Bachelors","$25,000 or more","Catholic ","Routine"
"1305","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,34,"Graduate","$25,000 or more","None","Routine"
"1306","Married","No ","No ",23,"Pretyy Happy","Pretyy Happy",NA,70,"High School","$25,000 or more","Protestant","Routine"
"1307","Never Married",NA,NA,NA,"Not Too Happy",NA,"Pretyy Happy",24,"High School","$15,000 to $19,999","None","Routine"
"1308","Married","No ","No ",23,"Very Happy","Very Happy",NA,37,"High School","$25,000 or more","Catholic ","Exciting"
"1309","Divorced",NA,"No ",23,"Very Happy",NA,"Very Happy",68,"High School","$25,000 or more","Christian","Exciting"
"1310","Widowed","Yes",NA,24,"Pretyy Happy",NA,NA,72,"Graduate","$25,000 or more","None","Exciting"
"1311","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,60,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1312","Married","No ","No ",25,"Very Happy","Very Happy",NA,47,"Associate","$25,000 or more","Protestant","Routine"
"1313","Married","Yes","No ",38,"Pretyy Happy","Pretyy Happy",NA,46,"High School","$25,000 or more","Catholic ","Routine"
"1314","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,40,"Bachelors","$8,000 to $9,999","None","Dull"
"1315","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,70,"Graduate","$25,000 or more","Protestant","Routine"
"1316","Divorced",NA,"No ",31,"Very Happy",NA,NA,68,"High School","$20,000 to $24,999","Protestant","Exciting"
"1317","Married","Yes","No ",NA,"Very Happy","Very Happy",NA,58,"<High School","$25,000 or more","Christian","Exciting"
"1318","Married","No ","No ",32,"Very Happy","Very Happy",NA,69,"Bachelors","Refused","Catholic ","Exciting"
"1319","Divorced",NA,"No ",37,"Not Too Happy",NA,NA,60,"High School","$15,000 to $19,999","Orthodox-Christian","Routine"
"1320","Married","Yes","No ",22,"Pretyy Happy","Very Happy",NA,44,"<High School","$25,000 or more","Other","Exciting"
"1321","Married","No ","No ",34,"Pretyy Happy","Pretyy Happy",NA,38,"High School","$25,000 or more","Christian","Routine"
"1322","Married","No ","No ",20,"Pretyy Happy","Very Happy",NA,26,"<High School","$25,000 or more","Catholic ","Exciting"
"1323","Never Married",NA,NA,20,"Not Too Happy",NA,NA,42,"High School","$25,000 or more","Protestant","Routine"
"1324","Married","Yes","No ",35,"Pretyy Happy","Very Happy",NA,77,"High School","$25,000 or more","Protestant","Exciting"
"1325","Divorced",NA,"No ",33,"Not Too Happy",NA,NA,69,"Graduate","$25,000 or more","None","Routine"
"1326","Married","No ","No ",21,"Pretyy Happy","Very Happy",NA,55,"Bachelors","$25,000 or more","Protestant","Routine"
"1327","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,74,"High School","$7,000 to $7,999","Christian","Exciting"
"1328","Married","Yes","No ",27,"Pretyy Happy","Pretyy Happy",NA,55,"High School","$25,000 or more","Protestant","Routine"
"1329","Divorced",NA,"Yes",19,"Pretyy Happy",NA,NA,79,"High School","$25,000 or more","Protestant","Routine"
"1330","Never Married",NA,NA,29,"Pretyy Happy",NA,"Very Happy",67,"Bachelors","$25,000 or more","None","Routine"
"1331","Married","No ","No ",26,"Very Happy","Very Happy",NA,40,"High School","$25,000 or more","Protestant","Exciting"
"1332","Never Married",NA,NA,NA,"Very Happy",NA,NA,30,"Bachelors","Refused","None","Exciting"
"1333","Married","No ","No ",27,"Very Happy","Very Happy",NA,28,"High School","$25,000 or more","None","Routine"
"1334","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,55,"Graduate","$25,000 or more","Catholic ","Routine"
"1335","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,22,"High School","$25,000 or more","None","Exciting"
"1336","Married","No ","No ",33,"Very Happy","Very Happy",NA,56,"Bachelors","Refused","Jewish ","Routine"
"1337","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,49,"Associate","$25,000 or more","Other","Exciting"
"1338","Never Married",NA,NA,25,"Very Happy",NA,NA,34,"Associate","$25,000 or more","Protestant","Routine"
"1339","Divorced",NA,"No ",NA,"Pretyy Happy",NA,"Very Happy",58,"High School","$25,000 or more","Catholic ","Routine"
"1340","Married","No ","No ",29,"Very Happy","Very Happy",NA,37,"Bachelors","$25,000 or more","Catholic ","Routine"
"1341","Married","Yes","No ",32,"Very Happy","Very Happy",NA,40,"Bachelors","$25,000 or more","None","Exciting"
"1342","Never Married",NA,NA,23,"Pretyy Happy",NA,NA,36,"Graduate","$25,000 or more","Christian","Routine"
"1343","Never Married",NA,NA,28,"Pretyy Happy",NA,NA,36,"Bachelors","$8,000 to $9,999","None","Routine"
"1344","Never Married",NA,NA,22,"Pretyy Happy",NA,NA,66,"Associate","$8,000 to $9,999","Protestant","Exciting"
"1345","Married","No ","No ",27,"Pretyy Happy","Pretyy Happy",NA,45,"Bachelors","$25,000 or more","Protestant","Routine"
"1346","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,65,"High School","$25,000 or more","Jewish ","Exciting"
"1347","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,35,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1348","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,29,"Bachelors","$25,000 or more","None","Routine"
"1349","Married","No ","No ",25,"Pretyy Happy","Very Happy",NA,70,"High School","$25,000 or more","Catholic ","Routine"
"1350","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,62,"High School","$15,000 to $19,999","Catholic ","Routine"
"1351","Married","Yes","No ",20,"Very Happy","Pretyy Happy",NA,65,"Bachelors","$25,000 or more","None","Exciting"
"1352","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,55,"Bachelors","$25,000 or more","Protestant","Routine"
"1353","Divorced",NA,"No ",17,"Not Too Happy",NA,NA,57,"<High School","$1,000 to $2,999","Protestant","Routine"
"1354","Married","No ","No ",25,"Pretyy Happy","Very Happy",NA,74,"High School","Refused","Protestant","Routine"
"1355","Married","No ","No ",46,"Pretyy Happy","Very Happy",NA,48,"Bachelors","$25,000 or more","Buddhism","Exciting"
"1356","Divorced",NA,"No ",20,"Pretyy Happy",NA,NA,32,"Graduate","$25,000 or more","Jewish ","Routine"
"1357","Widowed","No ",NA,23,"Very Happy",NA,NA,79,"Graduate","$25,000 or more","Protestant","Exciting"
"1358","Divorced",NA,"No ",21,"Not Too Happy",NA,NA,70,"High School","$10,000 to $14,999","Protestant","Dull"
"1359","Widowed","No ",NA,23,"Not Too Happy",NA,NA,81,"High School","$25,000 or more","Protestant","Routine"
"1360","Divorced",NA,"No ",41,"Very Happy",NA,NA,74,"Graduate","$25,000 or more","Protestant","Exciting"
"1361","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,27,"High School","$25,000 or more","None","Routine"
"1362","Never Married",NA,NA,19,"Not Too Happy",NA,"Very Happy",26,"High School","<$1,000","None","Routine"
"1363","Married","Yes","No ",23,"Pretyy Happy","Very Happy",NA,58,"High School","$25,000 or more","Catholic ","Exciting"
"1364","Divorced",NA,"No ",23,"Pretyy Happy",NA,NA,49,"Bachelors","$25,000 or more","Protestant","Routine"
"1365","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,41,"Graduate","$25,000 or more","Protestant","Routine"
"1366","Married","No ","No ",37,"Pretyy Happy","Pretyy Happy",NA,43,"Graduate","Refused","Buddhism","Routine"
"1367","Separated",NA,"No ",15,"Not Too Happy",NA,NA,64,"High School","$1,000 to $2,999","Protestant","Exciting"
"1368","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,83,"High School","$15,000 to $19,999","Catholic ","Routine"
"1369","Married","No ","No ",20,"Very Happy","Very Happy",NA,40,"<High School","$25,000 or more","None","Exciting"
"1370","Married","Yes","No ",41,"Pretyy Happy","Pretyy Happy",NA,79,"Associate","$25,000 or more","None","Exciting"
